5 0.00516987 485 13727 0.248593 562 1375006 2.4264 930 507906
10 0.00749087 485 26969 0.250791 562 1421691 2.61484 965 529221
15 0.00991082 485 40211 0.254816 562 1444227 2.91036 1020 565355
20 0.0127511 485 54864 0.271901 562 1528882 4.44116 1150 655284
